Feed ID,Site,Feed Name,Feed URL,Faculty/Unit/Group,Script,Type,Notes,Tags,Time Limit
staffbook,StaffBook,Events from PDU StaffBook,https://www.staffbook.soton.ac.uk/events_feed.php,http://id.southampton.ac.uk/org/P1GRDD0850,StaffBookJSON,Event,,,
ageing-events,Ageing,Events from Ageing/Gerontology,http://www.soton.ac.uk/ageing/news/feeds/gerontology_events.page,http://id.southampton.ac.uk/org/F8CC060000,RSS,Event,,,
ageing-seminars,Ageing,Seminars from Ageing/Gerontology,http://www.soton.ac.uk/ageing/news/feeds/gerontology_seminars.page,http://id.southampton.ac.uk/org/F8CC060000,RSS,Seminar,,,
archaeology-events,Archaeology,Archaeology events,http://www.soton.ac.uk/archaeology/news/feeds/archaeology_events.page,http://id.southampton.ac.uk/org/MH,RSS,Event,,,
archaeology-seminars,Archaeology,Archaeology seminars,http://www.soton.ac.uk/archaeology/news/feeds/archaeology_seminars.page,http://id.southampton.ac.uk/org/MH,RSS,Seminar,,,
biosci-events,Biosci,Events in Biological Sciences,http://www.soton.ac.uk/biosci/news/feeds/biosci_events.page,http://id.southampton.ac.uk/org/BJ,RSS,Event,,,
biosci-seminars,Biosci,"BioSciences seminars, Seminars in the School of Biological Sciences",http://www.soton.ac.uk/biosci/news/feeds/biosci_seminars.page,http://id.southampton.ac.uk/org/BJ,RSS,Seminar,,,
chemistry-events,Chemistry,Events at the School of Chemistry,http://www.soton.ac.uk/chemistry/news/feeds/events.page,http://id.southampton.ac.uk/org/EB,RSS,Event,,,
computational-systems-events,Chemistry,Computational Systems Seminars from the School of Chemistry,http://www.soton.ac.uk/chemistry/news/feeds/computational_systems_seminars.page,http://id.southampton.ac.uk/org/F6EB080000,RSS,Seminar,,,
electrochemistry-events,Chemistry,Electrochemistry Seminars in the School of Chemistry,http://www.soton.ac.uk/chemistry/news/feeds/electrochemistry_seminars.page,http://id.southampton.ac.uk/org/F6EB090000,RSS,Seminar,,,
chemistry-seminars,Chemistry,Chemistry seminars,http://www.soton.ac.uk/chemistry/news/feeds/seminars.page,http://id.southampton.ac.uk/org/EB,RSS,Seminar,,,
demography-events,Demography,lt,http://www.soton.ac.uk/demography/news/feeds/demography_events.page,http://id.southampton.ac.uk/org/F8CC010000,RSS,Event,,,
demography-seminars,Demography,Seminars from Social Statistics & Demography,http://www.soton.ac.uk/demography/news/feeds/demography_seminars.page,http://id.southampton.ac.uk/org/F8CC010000,RSS,Seminar,,,
economics-events,Economics,Events from Economics,http://www.soton.ac.uk/economics/news/feeds/events_economics.page,http://id.southampton.ac.uk/org/F8CC030000,RSS,Event,,,
economics-seminars,Economics,Seminars from Economics,http://www.soton.ac.uk/economics/news/feeds/seminars_economics.page,http://id.southampton.ac.uk/org/F8CC030000,RSS,Seminar,,,
education-events,Education,Events in Education,http://www.soton.ac.uk/education/news/feeds/education_events_main_feed.page,http://id.southampton.ac.uk/org/CJ,RSS,Event,,,
education-seminars,Education,School of Education Seminars,http://www.soton.ac.uk/education/news/feeds/education_seminars_main_feed.page,http://id.southampton.ac.uk/org/CJ,RSS,Seminar,,,
engineering-events,Engineering,Latest events,http://www.soton.ac.uk/engineering/news/feeds/ses_events.page,http://id.southampton.ac.uk/org/F2,RSS,Event,,,
engineering-afm-seminars,Engineering,AFM seminar series,http://www.soton.ac.uk/engineering/news/feeds/seminar_feed_afm.page,http://id.southampton.ac.uk/org/F2AK010000,RSS,Seminar,,,
engineering-coastal-seminars,Engineering,Coastal Seminar Series,http://www.soton.ac.uk/engineering/news/feeds/coastal_seminars.page,http://id.southampton.ac.uk/org/F2,RSS,Seminar,,,
engineering-habc-seminars,Engineering,HABC seminars,http://www.soton.ac.uk/engineering/news/feeds/habc_seminars.page,http://id.southampton.ac.uk/org/KR,RSS,Seminar,HABC is part of ISVR,,
engineering-seminars,Engineering,Seminars from Engineering and the Environment,http://www.soton.ac.uk/engineering/news/feeds/general_engineering_seminars.page,http://id.southampton.ac.uk/org/F2,RSS,Seminar,,,
english-events,English,English events,http://www.soton.ac.uk/english/news/feeds/english_events.page,http://id.southampton.ac.uk/org/PL,RSS,Event,,,
english-seminars,English,English seminars,http://www.soton.ac.uk/english/news/feeds/english_seminars.page,http://id.southampton.ac.uk/org/PL,RSS,Seminar,,,
film-conferences,Film,Film conferences,http://www.soton.ac.uk/film/news/feeds/film_conferences.page,http://id.southampton.ac.uk/org/LT,RSS,Conference,,,
film-events,Film,Film events,http://www.soton.ac.uk/film/news/feeds/film_events.page,http://id.southampton.ac.uk/org/LT,RSS,Event,,,
film-seminars,Film,Film seminars,http://www.soton.ac.uk/film/news/feeds/film_seminars.page,http://id.southampton.ac.uk/org/LT,RSS,Seminar,,,
geography-events,Geography,Geography events,http://www.soton.ac.uk/geography/news/feeds/events_feed.page,http://id.southampton.ac.uk/org/WR,RSS,Event,,,
geography-seminars,Geography,Geography seminars,http://www.soton.ac.uk/geography/news/feeds/seminar_feed.page,http://id.southampton.ac.uk/org/WR,RSS,Seminar,,,
health-sciences-events,Health Sciences,Health Sciences Events Feed,http://www.soton.ac.uk/healthsciences/news/feeds/health_sciences_events.page,http://id.southampton.ac.uk/org/F3,RSS,Event,,,
history-events,History,History events,http://www.soton.ac.uk/history/news/feeds/history_events.page,http://id.southampton.ac.uk/org/RG,RSS,Event,,,
